lang,noun
ara,0.44254516296929824
ces,0.28930735382775097
deu,0.21302258948572947
eng,0.22355344659336865
fas,0.5508261903784791
fra,0.2963979381509351
hin,0.3167910980032438
jpn,0.3762451458953566
kor,0.3421297273127624
nld,0.2242201692962224
rus,0.33478381050096745
pol,0.3256646440228944
spa,0.21090012181990084
tam,0.4737319707487634
tur,0.3909624062033242
zho,0.5511080623076366
