lang,pron2noun
ara,0.027655176751519833
deu,0.4470948882809571
eng,0.3925335393692491
fas,0.10454788359971963
fra,0.22283731479427066
hin,0.3492900732926493
jpn,0.08448505441021167
kor,0.12710531544790468
nld,0.30258363018466194
rus,0.26035962213853825
spa,0.2595682155656967
tam,0.16669242658423494
tur,0.1335954877126357
zho,0.3876015216421843
