lang,noun2verb
ara,0.7822868699277076
deu,0.6313617443012883
eng,0.591630842901453
fas,0.8303181630971993
fra,0.6662098333632723
hin,0.6978097868981846
jpn,0.6633261905460808
kor,0.7426511671886328
nld,0.5187792712269842
rus,0.6706060347709117
spa,0.6423700805989276
tam,0.7250537923614847
tur,0.5652779404873477
zho,0.4751858944363398
