ar	en	0.4377203012353091
ar	de	0.4410519984934464
ar	es	0.45939796601931465
ar	fa	0.4327254820209222
ar	fr	0.4506539131814809
ar	hi	0.4911714459470845
ar	ja	0.5368522599169998
ar	ko	0.47823290267487006
ar	nl	0.43513555880128785
ar	ru	0.45957685371798046
ar	ta	0.5317907960219967
ar	tr	0.5194600340932994
ar	zh	0.4665390616976123
en	ar	0.4377203012353091
en	de	0.31766942673741044
en	es	0.31446216882822897
en	fa	0.38605165160910376
en	fr	0.3145554425905713
en	hi	0.4458516388108505
en	ja	0.5604718507791807
en	ko	0.4488758519784357
en	nl	0.3308665458705026
en	ru	0.3579748698157435
en	ta	0.47508886242489584
en	tr	0.4432624854315422
en	zh	0.4619530668041493
de	ar	0.4410519984934464
de	en	0.31766942673741044
de	es	0.3347073709467263
de	fa	0.381503047989759
de	fr	0.30281509721851135
de	hi	0.44588779546191654
de	ja	0.46728628543522677
de	ko	0.4140325299826162
de	nl	0.28643783948023754
de	ru	0.33769561946465837
de	ta	0.4371746513809793
de	tr	0.41269069358965993
de	zh	0.36760724893870295
es	ar	0.4593979660193146
es	en	0.31446216882822897
es	de	0.3347073709467263
es	fa	0.4089283310808697
es	fr	0.3163360734674369
es	hi	0.46748122026090394
es	ja	0.5079197353351743
es	ko	0.43275855077726927
es	nl	0.33289947041373236
es	ru	0.3719991454019864
es	ta	0.4893721792443945
es	tr	0.44347690146480884
es	zh	0.4229537581994001
fa	ar	0.4327254820209222
fa	en	0.38605165160910376
fa	de	0.381503047989759
fa	es	0.4089283310808697
fa	fr	0.37463771575168286
fa	hi	0.4454452139397416
fa	ja	0.4712140797025495
fa	ko	0.4315539560706828
fa	nl	0.3853698349982306
fa	ru	0.4123378802583397
fa	ta	0.4620220008934187
fa	tr	0.4532781756126264
fa	zh	0.377459321698241
fr	ar	0.4506539131814809
fr	en	0.3145554425905713
fr	de	0.30281509721851135
fr	es	0.3163360734674369
fr	fa	0.37463771575168286
fr	hi	0.45667120746083556
fr	ja	0.48893366530180443
fr	ko	0.4141886187498941
fr	nl	0.3163379155105143
fr	ru	0.3509053615104973
fr	ta	0.45395166018459776
fr	tr	0.4194257005122238
fr	zh	0.3976076254157563
hi	ar	0.4911714459470845
hi	en	0.4458516388108505
hi	de	0.44588779546191654
hi	es	0.46748122026090394
hi	fa	0.4454452139397416
hi	fr	0.45667120746083556
hi	ja	0.48653719811994545
hi	ko	0.4791552733282766
hi	nl	0.4333391854516949
hi	ru	0.484759034165847
hi	ta	0.49302726111856465
hi	tr	0.5195837184355884
hi	zh	0.4194926067672186
ja	ar	0.5368522599169998
ja	en	0.5604718507791807
ja	de	0.46728628543522677
ja	es	0.5079197353351743
ja	fa	0.47121407970254947
ja	fr	0.48893366530180443
ja	hi	0.48653719811994545
ja	ko	0.49039658193728913
ja	nl	0.4499401721250848
ja	ru	0.49858019386740343
ja	ta	0.5243271075585421
ja	tr	0.5607339888609413
ja	zh	0.061050155028441716
ko	ar	0.47823290267487006
ko	en	0.4488758519784357
ko	de	0.4140325299826162
ko	es	0.43275855077726927
ko	fa	0.4315539560706828
ko	fr	0.4141886187498941
ko	hi	0.4791552733282766
ko	ja	0.49039658193728913
ko	nl	0.4089566629717332
ko	ru	0.43946288152725643
ko	ta	0.4946277974505216
ko	tr	0.4843992330262777
ko	zh	0.3928497227938152
nl	ar	0.43513555880128785
nl	en	0.3308665458705026
nl	de	0.28643783948023754
nl	es	0.33289947041373236
nl	fa	0.3853698349982306
nl	fr	0.3163379155105143
nl	hi	0.4333391854516949
nl	ja	0.4499401721250848
nl	ko	0.4089566629717332
nl	ru	0.3629645744907639
nl	ta	0.4397738663233736
nl	tr	0.4217476695381879
nl	zh	0.3672943842358207
ru	ar	0.45957685371798046
ru	en	0.3579748698157435
ru	de	0.33769561946465837
ru	es	0.3719991454019864
ru	fa	0.4123378802583397
ru	fr	0.3509053615104973
ru	hi	0.484759034165847
ru	ja	0.49858019386740343
ru	ko	0.43946288152725643
ru	nl	0.3629645744907639
ru	ta	0.4813789233936757
ru	tr	0.4473082496729442
ru	zh	0.4186241361162955
ta	ar	0.5317907960219967
ta	en	0.47508886242489584
ta	de	0.4371746513809793
ta	es	0.4893721792443945
ta	fa	0.4620220008934187
ta	fr	0.45395166018459776
ta	hi	0.49302726111856465
ta	ja	0.5243271075585421
ta	ko	0.4946277974505216
ta	nl	0.4397738663233736
ta	ru	0.4813789233936757
ta	tr	0.5181536510295907
ta	zh	0.444619871061149
tr	ar	0.5194600340932994
tr	en	0.4432624854315422
tr	de	0.41269069358965993
tr	es	0.44347690146480884
tr	fa	0.4532781756126264
tr	fr	0.4194257005122238
tr	hi	0.5195837184355884
tr	ja	0.5607339888609413
tr	ko	0.4843992330262777
tr	nl	0.4217476695381879
tr	ru	0.4473082496729442
tr	ta	0.5181536510295907
tr	zh	0.4769034255452029
zh	ar	0.4665390616976123
zh	en	0.4619530668041493
zh	de	0.36760724893870295
zh	es	0.4229537581994001
zh	fa	0.377459321698241
zh	fr	0.3976076254157563
zh	hi	0.4194926067672186
zh	ja	0.061050155028441716
zh	ko	0.3928497227938152
zh	nl	0.3672943842358207
zh	ru	0.4186241361162955
zh	ta	0.444619871061149
zh	tr	0.4769034255452029
