lang,verb
ara,0.1061751781088634
deu,0.09478092822909936
eng,0.11980638384147994
fas,0.08143463720830826
fra,0.1212700669791876
hin,0.09870138239938132
jpn,0.1164007131186084
kor,0.07823967482819329
nld,0.16079493279661436
rus,0.11900713145123518
spa,0.10571570031534212
tam,0.13484813507898294
tur,0.2217767209261845
zho,0.18159430070424834
