lang,pron
ara,0.012049662761010776
ces,0.055972134975906106
deu,0.13352814043085914
eng,0.11473900985527108
fas,0.04654462747666945
fra,0.07139416574875353
hin,0.12097719842713482
jpn,0.02201201868534734
kor,0.033863652183374844
nld,0.0763057641926515
rus,0.08696220040476275
pol,0.04214362761804709
spa,0.06892540830459913
tam,0.07401712929522238
tur,0.04541546250728988
zho,0.04430132836843172
